participant_id,qualtrics_response_id,condition,domain,n_trials,loo_random,loo_proj_only,loo_proj_alpha,h1_augmented,h1_baseline,h2_signed_likert,h3_aug_minus_base
R_3FwYxftfWcSiwS9,R_3FwYxftfWcSiwS9,choice_only,dailydilemmas,20,0.4,0.65,,0.65,0.4,1.0,4.0
R_5uvWFi8cYqk7g6l,R_5uvWFi8cYqk7g6l,inference_categories,dailydilemmas,20,0.6,0.6,0.75,0.75,0.6,-1.0,-1.0
R_58jcig4NSdASp0Z,R_58jcig4NSdASp0Z,choice_only,dailydilemmas,20,0.8,0.7,,0.7,0.8,2.0,1.0
R_7PckxQuBO70md3Z,R_7PckxQuBO70md3Z,choice_only,dailydilemmas,20,0.6,0.6,,0.6,0.6,3.0,1.0
R_7w69DGmziNjVtfs,R_7w69DGmziNjVtfs,inference_categories,dailydilemmas,20,0.45,0.35,0.55,0.55,0.35,1.0,-2.0
R_5LIEhPwJpqBIh33,R_5LIEhPwJpqBIh33,inference_affirm,dailydilemmas,20,0.6,0.8,0.8,0.8,0.8,2.0,2.0
R_6LLtcbP0XmXKCKi,R_6LLtcbP0XmXKCKi,inference_affirm,dailydilemmas,20,0.65,0.3,0.5,0.5,0.3,-1.0,-2.0
R_5PgZpS3QqUExLqv,R_5PgZpS3QqUExLqv,inference_categories,dailydilemmas,20,0.7,0.7,0.7,0.7,0.7,3.0,3.0
R_6zY6mCBQ7GKFMjv,R_6zY6mCBQ7GKFMjv,choice_only,dailydilemmas,20,0.7,0.75,,0.75,0.7,-1.0,2.0
R_7oSTy1fs8JHVIn7,R_7oSTy1fs8JHVIn7,choice_only,dailydilemmas,20,0.55,0.5,,0.5,0.55,-2.0,2.0
R_6CNB7iyJW5HG86l,R_6CNB7iyJW5HG86l,inference_affirm,dailydilemmas,20,0.55,0.85,0.75,0.75,0.85,-1.0,2.0
R_1jOZUQkHRxeWNJU,R_1jOZUQkHRxeWNJU,inference_categories,dailydilemmas,20,0.7,0.9,0.9,0.9,0.9,-1.0,0.0
R_1qrAmLYv6AWC1i0,R_1qrAmLYv6AWC1i0,choice_only,dailydilemmas,20,0.55,0.7,,0.7,0.55,1.0,4.0
R_5tCYWTLWaZip8wf,R_5tCYWTLWaZip8wf,inference_affirm,dailydilemmas,20,0.6,0.8,0.8,0.8,0.8,-1.0,-4.0
R_6ghgNlxtV3gMIJJ,R_6ghgNlxtV3gMIJJ,choice_only,dailydilemmas,20,0.65,0.8,,0.8,0.65,2.0,4.0
R_3Ol6SedRydfHKn6,R_3Ol6SedRydfHKn6,inference_categories,dailydilemmas,20,0.75,0.75,0.6,0.6,0.75,-2.0,-1.0
R_7eFSsHPE6CYnKBc,R_7eFSsHPE6CYnKBc,inference_affirm,dailydilemmas,20,0.55,0.7,0.75,0.75,0.7,2.0,3.0
R_5GBOlTN9uyPLMQS,R_5GBOlTN9uyPLMQS,inference_affirm,dailydilemmas,20,0.5,0.7,0.7,0.7,0.7,1.0,-5.0
R_6EacszGusNAsdTL,R_6EacszGusNAsdTL,inference_affirm,dailydilemmas,20,0.75,0.85,0.85,0.85,0.85,2.0,-3.0
R_5DtMbRWPrD98QIg,R_5DtMbRWPrD98QIg,inference_affirm,dailydilemmas,20,0.55,0.7,0.7,0.7,0.7,-1.0,4.0
R_1jij2hQKHPIcGlj,R_1jij2hQKHPIcGlj,inference_categories,dailydilemmas,20,0.45,0.6,0.5,0.5,0.6,2.0,1.0
